Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2022-11-02,Stock,科华数据(002335.XSHE),Long,1800Shares,1800Shares,44.59,80262,8334,39.96,-,0,702,0Shares,11.59%,196622.75,40.82%
2022-11-02,,Cash,,,,,685.75,,,,,,,,0
2022-11-03,Stock,东方财富(300059.XSHE),Long,2300Shares,2300Shares,16.11,37053,1150,15.61,-,0,-322,0Shares,3.2%,196191.43,18.89%
2022-11-03,Stock,科华数据(002335.XSHE),Long,1800Shares,1800Shares,45.64,82152,10224,39.96,-,0,1890,0Shares,14.21%,196191.43,41.87%
2022-11-03,,Cash,,,,,76986.43,,,,,,,,0
2022-11-04,Stock,东方财富(300059.XSHE),Long,2300Shares,2300Shares,17.19,39537,3634,15.61,-,0,2484,0Shares,10.12%,201570.73,19.61%
2022-11-04,,Cash,,,,,162033.73,,,,,,,,0
2022-11-07,Stock,东方财富(300059.XSHE),Long,2300Shares,2300Shares,17.26,39698,3795,15.61,-,0,161,0Shares,10.57%,201731.73,19.68%
2022-11-07,,Cash,,,,,162033.73,,,,,,,,0
2022-11-08,Stock,东方财富(300059.XSHE),Long,2300Shares,2300Shares,17.18,39514,3611,15.61,-,0,-184,0Shares,10.06%,201547.73,19.61%
2022-11-08,,Cash,,,,,162033.73,,,,,,,,0
2022-11-09,Stock,东方财富(300059.XSHE),Long,2300Shares,2300Shares,17.03,39169,3266,15.61,-,0,-345,0Shares,9.1%,201202.73,19.47%
2022-11-09,,Cash,,,,,162033.73,,,,,,,,0
2022-11-10,Stock,东方财富(300059.XSHE),Long,2300Shares,2300Shares,17.07,39261,3358,15.61,-,0,92,0Shares,9.35%,201294.73,19.5%
2022-11-10,,Cash,,,,,162033.73,,,,,,,,0
2022-11-11,,Cash,,,,,203356.94,,,,,,,,0
2022-11-14,,Cash,,,,,203356.94,,,,,,,,0
2022-11-15,Stock,阳光电源(300274.XSHE),Long,1700Shares,0Shares,118.99,202283,5933,115.5,-,0,5933,1700Shares,3.02%,209231.03,96.68%
2022-11-15,,Cash,,,,,6948.03,,,,,,,,0
2022-11-16,Stock,阳光电源(300274.XSHE),Long,1700Shares,1700Shares,115.9,197030,680,115.5,-,0,-5253,0Shares,0.35%,203978.03,96.59%
2022-11-16,,Cash,,,,,6948.03,,,,,,,,0
2022-11-17,Stock,阳光电源(300274.XSHE),Long,1700Shares,1700Shares,115.05,195585,-765,115.5,-,0,-1445,0Shares,-0.39%,202533.03,96.57%
2022-11-17,,Cash,,,,,6948.03,,,,,,,,0
2022-11-18,Stock,阳光电源(300274.XSHE),Long,1700Shares,1700Shares,114.89,195313,-1037,115.5,-,0,-272,0Shares,-0.53%,202261.03,96.56%
2022-11-18,,Cash,,,,,6948.03,,,,,,,,0
2022-11-21,Stock,阳光电源(300274.XSHE),Long,1700Shares,1700Shares,114.8,195160,-1190,115.5,-,0,-153,0Shares,-0.61%,202108.03,96.56%
2022-11-21,,Cash,,,,,6948.03,,,,,,,,0
