date,rolling_60d_turnover_hkd
2021-08-20,300973.38209734607
2021-08-23,302236.5069325769
2021-08-24,306170.409069733
2021-08-25,325752.10678435327
2021-08-26,323935.7130708508
2021-08-27,323651.3302496169
2021-08-30,321696.9574542606
2021-08-31,322324.32158462255
2021-09-01,320112.9282666293
2021-09-02,321104.67139303155
2021-09-03,323726.0678927716
2021-09-06,326668.2898200784
2021-09-07,325307.999739629
2021-09-08,326153.9064730096
2021-09-09,324430.8332044719
2021-09-10,324926.4569697165
2021-09-13,325687.70154110057
2021-09-14,324837.1136211416
2021-09-15,333454.9255516372
2021-09-16,335502.9043466048
2021-09-17,332470.0036083217
2021-09-20,331744.694354335
2021-09-21,332193.67278072634
2021-09-23,328254.2497077814
2021-09-24,327966.1716044027
2021-09-27,327681.3719086168
2021-09-28,327364.25781301316
2021-09-29,329353.89459041867
2021-09-30,330890.34549918474
2021-10-04,332637.60927767155
2021-10-05,331556.01083318074
2021-10-06,332098.6788013811
2021-10-07,330757.12075749715
2021-10-08,313108.8820261912
2021-10-11,311001.77616268006
2021-10-12,318971.3701046342
2021-10-15,322321.9970680809
2021-10-18,327844.8891113933
2021-10-19,334921.26759948645
2021-10-20,336775.2886403902
2021-10-21,338621.8801494487
2021-10-22,337867.21375420905
2021-10-25,337607.7889528752
2021-10-26,336796.65884574695
2021-10-27,335572.3441643782
2021-10-28,334776.13335586333
2021-10-29,334951.1808344526
2021-11-01,333843.31771879335
2021-11-02,337139.90814966324
2021-11-03,337898.06136464543
2021-11-04,338395.26468376856
2021-11-05,338295.9599349802
2021-11-08,335675.45014431287
2021-11-09,336231.37798706425
2021-11-10,337630.33072437986
2021-11-11,337166.62095904135
2021-11-12,337387.02659654303
2021-11-15,341526.0497092277
2021-11-16,342001.7950631073
2021-11-17,340784.63031275343
2021-11-18,338686.96294889116
2021-11-19,338853.74038048956
2021-11-22,334078.03447028867
2021-11-23,343932.05328132183
2021-11-24,362115.0258748461
2021-11-25,369313.7365026063
2021-11-26,369759.99829051265
2021-11-29,370576.588598144
2021-11-30,372222.4328687868
2021-12-01,373141.6363928499
2021-12-02,370825.70945324417
2021-12-03,367523.9827699863
2021-12-06,368361.8701293378
2021-12-07,367263.93795358104
2021-12-08,365846.8857217586
2021-12-09,364874.43083954946
2021-12-10,362845.4975209538
2021-12-13,361248.28984678205
2021-12-14,367174.0095655703
2021-12-15,377273.74712626176
2021-12-16,380002.4219862774
2021-12-17,383099.3712938217
2021-12-20,384424.28232223715
2021-12-21,379962.1495385328
2021-12-22,377768.3443264588
2021-12-23,373989.2203056163
2021-12-24,373930.6657990077
2021-12-28,373703.688005287
2021-12-29,371463.65279940126
2021-12-30,371045.33917129546
2021-12-31,369761.645268492
2022-01-03,368316.89732079674
2022-01-04,369033.53001184977
2022-01-05,396351.0470987927
2022-01-06,410681.60482735414
2022-01-07,406361.7436469065
2022-01-10,411080.56955719535
2022-01-11,406962.1058410869
2022-01-12,402273.9399311548
2022-01-13,404035.9081557138
2022-01-14,404829.89052643144
2022-01-17,405831.0052873074
2022-01-18,405200.13945448806
2022-01-19,405582.3574264096
2022-01-20,405563.5955681634
2022-01-21,413549.5369997251
2022-01-24,414597.58354316617
2022-01-25,421049.8037452249
2022-01-26,417510.662022356
2022-01-27,427950.3201486787
2022-01-28,440888.8231035826
2022-01-31,441408.0026428976
2022-02-04,450524.464128702
2022-02-07,463214.7237173891
2022-02-08,464872.8567472296
2022-02-09,465703.319297552
2022-02-10,471702.07767232985
2022-02-11,467881.1102573232
2022-02-14,467587.0128531797
2022-02-15,473921.98449311027
2022-02-16,474961.29431728425
2022-02-17,479222.7909275368
2022-02-18,483114.1168554539
2022-02-21,472490.6645195302
2022-02-22,471968.0734832345
2022-02-23,477371.2855034538
2022-02-24,485613.355193178
2022-02-25,483800.24486858014
2022-02-28,483419.87691246986
2022-03-01,483178.7421309652
2022-03-02,484950.6996923874
2022-03-03,484757.1806397858
2022-03-04,485901.89310929127
2022-03-07,487705.73912260967
2022-03-08,488322.6080763971
2022-03-09,492451.07368608384
2022-03-10,492922.04882977053
2022-03-11,493456.1309680255
2022-03-14,462640.0163290526
2022-03-15,474496.76586541464
2022-03-16,477438.30689335085
2022-03-17,474236.32647524803
2022-03-18,475822.3938970818
2022-03-21,476967.8835625531
2022-03-22,478956.62884523976
